Building Name,Typology Group,Typology,Sub-Type Group,SubType,GFA,Avg_Daily_Occupants,Audit 1,Audit 2,Audit 3,Audit 4,Audit 5,Total_Waste,Audit_Avg,Waste Production Category
B1897Y,1,Commercial,2,Office,13689,548,66,21,99,5,27,218,44,Lowest Waste Production (<500KG)
B1667Y,3,Educational,6,University,31635,25748,644,448,861,485,789,3227,645,Low Waste Production (500-1000KG)
B1909V,3,Educational,7,Nurseries,6514,106,533,984,996,570,987,4070,814,Low Waste Production (500-1000KG)
B1404O,5,Industrial,12,Manufacturing,18709,510,1112,1094,1053,1255,1128,5642,1128,Moderate Waste Production (1000-1500KG)
B1452B,4,Institutional,11,Fire Station,9794,204,391,234,310,218,326,1479,296,Lowest Waste Production (<500KG)
B1550C,3,Educational,6,University,29496,20005,891,862,893,921,584,4151,830,Low Waste Production (500-1000KG)
B1153N,3,Educational,8,Student residences,11765,7889,1132,1073,1147,1158,1023,5533,1107,Moderate Waste Production (1000-1500KG)
B1657G,3,Educational,6,University,28535,27572,643,844,911,511,981,3890,778,Low Waste Production (500-1000KG)
B1301O,1,Commercial,1,Retail Mixed,17723,2160,1651,1679,1211,1248,1173,6962,1392,Moderate Waste Production (1000-1500KG)
B1076I,1,Commercial,2,Office,11630,272,61,65,93,42,98,359,72,Lowest Waste Production (<500KG)
B1606H,6,Storage,15,Garage,124525,577,869,857,1191,901,1299,5117,1023,Moderate Waste Production (1000-1500KG)
B1939D,3,Educational,8,Student residences,11843,7701,1012,1079,1197,1166,1025,5479,1096,Moderate Waste Production (1000-1500KG)
B1839M,6,Storage,14,Warehouse,165741,428,1152,900,722,876,985,4635,927,Low Waste Production (500-1000KG)
B1089E,4,Institutional,10,Police Station,8554,199,1077,1030,763,1011,854,4735,947,Low Waste Production (500-1000KG)
B1148J,5,Industrial,13,Data Center,104264,583,262,288,355,268,378,1551,310,Lowest Waste Production (<500KG)
B1378C,4,Institutional,10,Police Station,9912,151,958,825,804,1062,1043,4692,938,Low Waste Production (500-1000KG)
B1519W,4,Institutional,10,Police Station,8131,119,1060,796,1157,1090,1031,5134,1027,Moderate Waste Production (1000-1500KG)
B1121K,5,Industrial,13,Data Center,100243,521,289,524,564,548,421,2346,469,Lowest Waste Production (<500KG)
B1301O,3,Educational,7,Nurseries,6016,150,813,760,639,548,519,3279,656,Low Waste Production (500-1000KG)
B1771D,2,Residential,5,Apartment,1422,2,6,8,10,10,8,42,8,Lowest Waste Production (<500KG)
B1886B,4,Institutional,10,Police Station,8168,144,1184,1016,897,1159,926,5182,1036,Moderate Waste Production (1000-1500KG)
B1320V,2,Residential,4,Landed Property,2395,5,11,12,10,15,12,60,12,Lowest Waste Production (<500KG)
B1863S,2,Residential,5,Apartment,1320,5,11,6,11,7,11,46,9,Lowest Waste Production (<500KG)
B1408U,3,Educational,8,Student residences,10056,8715,1137,1097,1092,1140,1064,5530,1106,Moderate Waste Production (1000-1500KG)
B1778E,1,Commercial,1,Retail Mixed,19009,2467,753,1212,491,731,1003,4190,838,Low Waste Production (500-1000KG)
B1977M,1,Commercial,2,Office,11432,718,24,91,68,49,76,308,62,Lowest Waste Production (<500KG)
B1426S,1,Commercial,1,Retail Mixed,19418,2688,331,1620,1489,699,1039,5178,1036,Moderate Waste Production (1000-1500KG)
B1268P,5,Industrial,13,Data Center,104195,531,238,370,522,408,390,1928,386,Lowest Waste Production (<500KG)
B1280R,4,Institutional,11,Fire Station,10621,184,354,236,379,356,292,1617,323,Lowest Waste Production (<500KG)
B1041R,3,Educational,8,Student residences,10346,9655,1044,1057,1199,1068,1108,5476,1095,Moderate Waste Production (1000-1500KG)
B1255P,2,Residential,5,Apartment,1438,5,8,8,7,7,10,40,8,Lowest Waste Production (<500KG)
B1075X,5,Industrial,12,Manufacturing,18751,264,1061,1133,1211,1162,1234,5801,1160,Moderate Waste Production (1000-1500KG)
B1792D,4,Institutional,9,Airport,98462,21835,4640,4581,4059,5112,5672,24064,4813,Highest Waste Production (>3500KG)
B1447E,3,Educational,7,Nurseries,6877,256,765,777,995,568,871,3976,795,Low Waste Production (500-1000KG)
B1910N,4,Institutional,10,Police Station,9817,177,739,1080,1024,1193,981,5017,1003,Moderate Waste Production (1000-1500KG)
B1455E,4,Institutional,10,Police Station,9531,186,1166,993,949,889,722,4719,944,Low Waste Production (500-1000KG)
B1418C,3,Educational,7,Nurseries,6005,263,617,688,901,702,758,3666,733,Low Waste Production (500-1000KG)
B1750Y,6,Storage,14,Warehouse,156563,341,651,954,762,1273,1213,4853,971,Low Waste Production (500-1000KG)
B1959N,3,Educational,6,University,32474,24791,778,500,426,976,550,3230,646,Low Waste Production (500-1000KG)
B1777Q,4,Institutional,10,Police Station,8903,167,762,1028,967,992,878,4627,925,Low Waste Production (500-1000KG)
B1479Z,3,Educational,6,University,30399,22495,447,677,777,582,561,3044,609,Low Waste Production (500-1000KG)
B1251H,5,Industrial,12,Manufacturing,18314,523,1110,1183,1069,1145,1227,5734,1147,Moderate Waste Production (1000-1500KG)
B1851Q,3,Educational,6,University,34371,24173,814,600,700,971,565,3650,730,Low Waste Production (500-1000KG)
B1076S,3,Educational,7,Nurseries,6156,145,790,919,582,847,653,3791,758,Low Waste Production (500-1000KG)
B1903I,1,Commercial,1,Retail Mixed,11074,3364,674,1738,831,1374,1270,5887,1177,Moderate Waste Production (1000-1500KG)
B1325X,3,Educational,6,University,32905,21287,499,986,709,712,993,3899,780,Low Waste Production (500-1000KG)
B1978R,5,Industrial,13,Data Center,91080,481,266,349,314,267,531,1727,345,Lowest Waste Production (<500KG)
B1603L,2,Residential,4,Landed Property,2060,7,12,13,10,13,14,62,12,Lowest Waste Production (<500KG)
B1359P,4,Institutional,10,Police Station,8692,192,902,831,712,731,1017,4193,839,Low Waste Production (500-1000KG)
B1232W,3,Educational,7,Nurseries,6647,115,862,683,936,798,597,3876,775,Low Waste Production (500-1000KG)
B1288A,3,Educational,7,Nurseries,6531,186,940,939,578,923,709,4089,818,Low Waste Production (500-1000KG)
B1255J,3,Educational,6,University,33966,27604,940,428,792,444,683,3287,657,Low Waste Production (500-1000KG)
B1481Y,4,Institutional,9,Airport,103908,20337,5399,4690,3988,3319,3138,20534,4107,Highest Waste Production (>3500KG)
B1527M,5,Industrial,13,Data Center,109637,360,420,369,269,519,391,1968,394,Lowest Waste Production (<500KG)
B1374Y,3,Educational,8,Student residences,11764,6160,1129,1006,1159,1030,1071,5395,1079,Moderate Waste Production (1000-1500KG)
B1767H,1,Commercial,3,Retail Non-Food,9719,853,285,437,75,345,291,1433,287,Lowest Waste Production (<500KG)
B1090R,2,Residential,4,Landed Property,2679,5,14,14,15,10,10,63,13,Lowest Waste Production (<500KG)
B1380L,6,Storage,14,Warehouse,164319,523,1171,745,1211,1258,550,4935,987,Low Waste Production (500-1000KG)
B2000H,2,Residential,5,Apartment,1134,6,8,10,7,9,6,40,8,Lowest Waste Production (<500KG)
B1238L,5,Industrial,12,Manufacturing,19779,371,1100,1013,1160,1044,1157,5474,1095,Moderate Waste Production (1000-1500KG)
B1864C,2,Residential,5,Apartment,1285,4,11,9,9,10,9,48,10,Lowest Waste Production (<500KG)
B1100M,1,Commercial,1,Retail Mixed,19219,2304,1246,1227,758,1617,413,5261,1052,Moderate Waste Production (1000-1500KG)
B1558J,3,Educational,6,University,27269,24481,679,933,653,829,404,3498,700,Low Waste Production (500-1000KG)
B1312O,1,Commercial,1,Retail Mixed,16000,3131,410,1894,1969,1758,2083,8114,1623,Moderately High Waste Production (1500-2000KG)
B1171E,4,Institutional,9,Airport,103159,22764,4023,5608,4385,5917,4326,24259,4852,Highest Waste Production (>3500KG)
B1963S,6,Storage,14,Warehouse,151453,478,738,1012,1313,1264,583,4910,982,Low Waste Production (500-1000KG)
B1298E,3,Educational,8,Student residences,11983,7537,1021,1087,1033,1099,1170,5410,1082,Moderate Waste Production (1000-1500KG)
B1495X,2,Residential,4,Landed Property,2558,8,15,15,11,10,11,62,12,Lowest Waste Production (<500KG)
B1544K,2,Residential,4,Landed Property,2833,8,10,11,12,11,12,56,11,Lowest Waste Production (<500KG)
B1458T,3,Educational,6,University,31323,27674,456,681,764,567,925,3393,679,Low Waste Production (500-1000KG)
B1747X,3,Educational,8,Student residences,10915,6979,1175,1001,1002,1048,1080,5306,1061,Moderate Waste Production (1000-1500KG)
B1424T,1,Commercial,2,Office,11287,506,0,36,64,26,53,179,36,Lowest Waste Production (<500KG)
B1437B,2,Residential,5,Apartment,1166,4,7,9,6,9,7,38,8,Lowest Waste Production (<500KG)
B1429V,4,Institutional,9,Airport,98981,20410,4658,5713,5498,4743,5029,25641,5128,Highest Waste Production (>3500KG)
B1708B,5,Industrial,13,Data Center,97029,497,266,569,333,414,316,1898,380,Lowest Waste Production (<500KG)
B1718B,1,Commercial,2,Office,4273,574,13,14,97,23,93,240,48,Lowest Waste Production (<500KG)
B1113D,2,Residential,5,Apartment,1365,5,11,10,7,6,9,43,9,Lowest Waste Production (<500KG)
B1423U,4,Institutional,9,Airport,101645,22292,3112,3565,4425,3401,3051,17554,3511,Highest Waste Production (>3500KG)
B1391B,1,Commercial,1,Retail Mixed,22969,2981,1905,1201,1974,423,1245,6748,1350,Moderate Waste Production (1000-1500KG)
B1631N,6,Storage,15,Garage,125225,600,827,1040,918,1106,1055,4946,989,Low Waste Production (500-1000KG)
B1518U,2,Residential,5,Apartment,1397,6,7,11,6,10,9,43,9,Lowest Waste Production (<500KG)
B1030L,3,Educational,8,Student residences,11200,9289,1097,1045,1175,1181,1074,5572,1114,Moderate Waste Production (1000-1500KG)
B1748A,1,Commercial,1,Retail Mixed,12342,3498,1194,1730,900,604,2038,6466,1293,Moderate Waste Production (1000-1500KG)
B1668U,4,Institutional,10,Police Station,8982,151,1039,736,736,718,1107,4336,867,Low Waste Production (500-1000KG)
B1168P,6,Storage,15,Garage,125811,267,890,1070,960,1040,1158,5118,1024,Moderate Waste Production (1000-1500KG)
B1519G,6,Storage,15,Garage,124025,413,1285,1125,782,1120,1214,5526,1105,Moderate Waste Production (1000-1500KG)
B1013E,4,Institutional,9,Airport,101642,21553,5399,4313,5684,5293,3511,24200,4840,Highest Waste Production (>3500KG)
B1576Y,2,Residential,5,Apartment,1198,5,7,6,10,7,8,38,8,Lowest Waste Production (<500KG)
B1285U,3,Educational,8,Student residences,11702,7227,1003,1067,1132,1113,1109,5424,1085,Moderate Waste Production (1000-1500KG)
B1027I,4,Institutional,10,Police Station,9506,107,1052,1069,1117,1153,1174,5565,1113,Moderate Waste Production (1000-1500KG)
B1467A,3,Educational,7,Nurseries,6504,109,517,754,606,664,939,3480,696,Low Waste Production (500-1000KG)
B1252C,3,Educational,8,Student residences,11505,8579,1138,1174,1053,1092,1181,5638,1128,Moderate Waste Production (1000-1500KG)
B1274R,2,Residential,4,Landed Property,2209,6,14,11,15,12,14,66,13,Lowest Waste Production (<500KG)
B1572Z,4,Institutional,11,Fire Station,10369,103,248,373,343,251,395,1610,322,Lowest Waste Production (<500KG)
B1974A,2,Residential,5,Apartment,1329,5,8,10,9,6,9,42,8,Lowest Waste Production (<500KG)
B1783N,2,Residential,4,Landed Property,2745,5,10,15,15,15,11,66,13,Lowest Waste Production (<500KG)
B1264P,6,Storage,15,Garage,123836,255,1067,819,1109,952,882,4829,966,Low Waste Production (500-1000KG)
B1116D,3,Educational,8,Student residences,10720,8024,1165,1102,1066,1066,1130,5529,1106,Moderate Waste Production (1000-1500KG)
B1543U,6,Storage,15,Garage,125876,270,849,1024,783,773,988,4417,883,Low Waste Production (500-1000KG)
B1655I,3,Educational,7,Nurseries,6227,121,754,925,703,647,605,3634,727,Low Waste Production (500-1000KG)
B1691A,3,Educational,6,University,31878,24445,617,624,948,725,515,3429,686,Low Waste Production (500-1000KG)
B1622P,3,Educational,6,University,34348,22196,664,892,503,952,876,3887,777,Low Waste Production (500-1000KG)
B1506Z,1,Commercial,1,Retail Mixed,14730,3887,799,2006,709,1935,2197,7646,1529,Moderately High Waste Production (1500-2000KG)
B1368W,3,Educational,7,Nurseries,6741,252,749,528,731,532,645,3185,637,Low Waste Production (500-1000KG)
B1455D,6,Storage,15,Garage,127947,509,1036,896,1057,1185,1182,5356,1071,Moderate Waste Production (1000-1500KG)
B1889Z,3,Educational,8,Student residences,10306,6181,1110,1195,1093,1163,1015,5576,1115,Moderate Waste Production (1000-1500KG)
B1899I,4,Institutional,11,Fire Station,10160,177,325,272,252,291,302,1442,288,Lowest Waste Production (<500KG)
B1087J,2,Residential,5,Apartment,1086,5,9,9,8,7,11,44,9,Lowest Waste Production (<500KG)
B1991P,3,Educational,7,Nurseries,6894,173,817,594,830,701,657,3599,720,Low Waste Production (500-1000KG)
B1375X,6,Storage,14,Warehouse,152515,265,1385,524,1269,1372,1240,5790,1158,Moderate Waste Production (1000-1500KG)
B1918P,4,Institutional,9,Airport,98369,21655,5122,4929,4184,5268,4603,24106,4821,Highest Waste Production (>3500KG)
B1651B,2,Residential,5,Apartment,1110,3,9,7,10,10,11,47,9,Lowest Waste Production (<500KG)
B1808V,3,Educational,7,Nurseries,6371,175,959,1000,659,618,785,4021,804,Low Waste Production (500-1000KG)
B1015U,3,Educational,7,Nurseries,6433,238,848,881,955,858,650,4192,838,Low Waste Production (500-1000KG)
B1243G,4,Institutional,11,Fire Station,9295,124,372,326,280,398,400,1776,355,Lowest Waste Production (<500KG)
B1316R,2,Residential,4,Landed Property,2974,9,14,12,14,13,11,64,13,Lowest Waste Production (<500KG)
B1848I,6,Storage,15,Garage,126725,573,1239,1052,1188,863,1192,5534,1107,Moderate Waste Production (1000-1500KG)
B1689K,4,Institutional,11,Fire Station,10751,210,307,391,254,230,389,1571,314,Lowest Waste Production (<500KG)
B1253W,5,Industrial,13,Data Center,99666,583,277,395,487,450,443,2052,410,Lowest Waste Production (<500KG)
B1775C,2,Residential,5,Apartment,1365,6,9,10,9,11,11,50,10,Lowest Waste Production (<500KG)
B1484C,2,Residential,5,Apartment,1391,4,6,6,8,8,9,37,7,Lowest Waste Production (<500KG)
B1325N,4,Institutional,9,Airport,100281,22860,3470,3249,3480,4484,4464,19147,3829,Highest Waste Production (>3500KG)
B1341V,5,Industrial,13,Data Center,100598,518,330,204,441,517,405,1897,379,Lowest Waste Production (<500KG)
B1850W,6,Storage,14,Warehouse,150876,572,1268,760,923,1351,869,5171,1034,Moderate Waste Production (1000-1500KG)
B1409S,1,Commercial,3,Retail Non-Food,10027,1140,92,246,422,161,286,1207,241,Lowest Waste Production (<500KG)
B1034C,4,Institutional,10,Police Station,8233,185,777,970,798,980,1128,4653,931,Low Waste Production (500-1000KG)
B1554R,1,Commercial,1,Retail Mixed,22854,3188,2157,2079,749,449,2133,7567,1513,Moderately High Waste Production (1500-2000KG)
B1942G,3,Educational,6,University,26842,22957,963,909,540,890,910,4212,842,Low Waste Production (500-1000KG)
B1565G,2,Residential,4,Landed Property,2443,9,10,13,13,10,12,58,12,Lowest Waste Production (<500KG)
B1326N,3,Educational,7,Nurseries,6115,285,821,560,744,896,590,3611,722,Low Waste Production (500-1000KG)
B1068R,4,Institutional,10,Police Station,8786,148,862,744,1070,805,1028,4509,902,Low Waste Production (500-1000KG)
B1724Y,4,Institutional,10,Police Station,9645,100,995,921,1070,1176,954,5116,1023,Moderate Waste Production (1000-1500KG)
B1635W,6,Storage,15,Garage,127602,386,810,1155,771,870,971,4577,915,Low Waste Production (500-1000KG)
B1884N,6,Storage,14,Warehouse,168322,272,1171,797,1067,1083,667,4785,957,Low Waste Production (500-1000KG)
B1442A,2,Residential,5,Apartment,1364,5,7,7,9,10,9,42,8,Lowest Waste Production (<500KG)
B1359C,3,Educational,7,Nurseries,6152,176,929,847,735,954,956,4421,884,Low Waste Production (500-1000KG)
B1745U,3,Educational,6,University,27765,29013,680,814,634,942,483,3553,711,Low Waste Production (500-1000KG)
B1123H,5,Industrial,13,Data Center,100368,538,222,475,400,339,339,1775,355,Lowest Waste Production (<500KG)
B1975Q,3,Educational,8,Student residences,10848,6485,1028,1059,1014,1095,1158,5354,1071,Moderate Waste Production (1000-1500KG)
B1174I,5,Industrial,12,Manufacturing,18051,284,1028,1147,1061,1020,1255,5511,1102,Moderate Waste Production (1000-1500KG)
B1960L,3,Educational,8,Student residences,11855,8422,1002,1115,1144,1129,1115,5505,1101,Moderate Waste Production (1000-1500KG)
B1288R,4,Institutional,11,Fire Station,10216,204,212,207,354,238,375,1386,277,Lowest Waste Production (<500KG)
B1945K,5,Industrial,13,Data Center,104291,531,278,252,585,487,457,2059,412,Lowest Waste Production (<500KG)
B1940Q,1,Commercial,2,Office,14532,143,72,0,76,69,47,264,53,Lowest Waste Production (<500KG)
B1878V,6,Storage,15,Garage,129001,477,790,774,1190,916,1164,4834,967,Low Waste Production (500-1000KG)
B1073Y,1,Commercial,3,Retail Non-Food,11609,826,362,148,216,301,16,1043,209,Lowest Waste Production (<500KG)
B1233I,4,Institutional,11,Fire Station,9933,115,248,336,285,210,339,1418,284,Lowest Waste Production (<500KG)
B1729Z,3,Educational,6,University,28479,27892,981,669,431,890,487,3458,692,Low Waste Production (500-1000KG)
B1691S,3,Educational,8,Student residences,11545,7933,1190,1178,1026,1001,1147,5542,1108,Moderate Waste Production (1000-1500KG)
B1250A,2,Residential,5,Apartment,1301,4,8,9,6,6,9,38,8,Lowest Waste Production (<500KG)
B1192R,4,Institutional,9,Airport,96454,22078,3241,3148,4664,4935,4311,20299,4060,Highest Waste Production (>3500KG)
B1817I,3,Educational,8,Student residences,11239,8149,1100,1149,1138,1160,1145,5692,1138,Moderate Waste Production (1000-1500KG)
B1465G,4,Institutional,9,Airport,97427,21977,5639,4937,3616,4094,4405,22691,4538,Highest Waste Production (>3500KG)
B1620H,2,Residential,5,Apartment,1233,4,11,8,11,10,11,51,10,Lowest Waste Production (<500KG)
B1050M,2,Residential,4,Landed Property,2287,6,11,10,12,11,10,54,11,Lowest Waste Production (<500KG)
B1102G,3,Educational,6,University,25062,26749,720,565,454,540,401,2680,536,Low Waste Production (500-1000KG)
B1991C,2,Residential,5,Apartment,1056,4,7,11,7,9,9,43,9,Lowest Waste Production (<500KG)
B1195E,3,Educational,7,Nurseries,6285,282,602,822,671,836,736,3667,733,Low Waste Production (500-1000KG)
B1121D,1,Commercial,2,Office,5587,548,22,14,46,50,14,146,29,Lowest Waste Production (<500KG)
B1902S,2,Residential,5,Apartment,1490,2,7,9,8,11,8,43,9,Lowest Waste Production (<500KG)
B1934U,4,Institutional,9,Airport,102868,20091,4256,5859,4347,5103,3189,22754,4551,Highest Waste Production (>3500KG)
B1684X,3,Educational,8,Student residences,11904,9381,1065,1188,1169,1014,1040,5476,1095,Moderate Waste Production (1000-1500KG)
B1648B,2,Residential,4,Landed Property,2406,9,13,10,15,10,11,59,12,Lowest Waste Production (<500KG)
B1538U,4,Institutional,9,Airport,103578,21837,4989,3034,3169,3018,5926,20136,4027,Highest Waste Production (>3500KG)
B1836U,3,Educational,8,Student residences,11033,6596,1009,1111,1087,1015,1189,5411,1082,Moderate Waste Production (1000-1500KG)
B1626J,2,Residential,5,Apartment,1195,6,6,7,6,8,11,38,8,Lowest Waste Production (<500KG)
B1364B,3,Educational,6,University,25262,20337,645,828,909,442,726,3550,710,Low Waste Production (500-1000KG)
B1471R,6,Storage,14,Warehouse,158317,294,1191,1050,1248,630,1122,5241,1048,Moderate Waste Production (1000-1500KG)
B1173X,3,Educational,8,Student residences,10099,6700,1101,1007,1109,1072,1165,5454,1091,Moderate Waste Production (1000-1500KG)
B1461U,3,Educational,6,University,34766,21130,753,627,628,902,834,3744,749,Low Waste Production (500-1000KG)
B1958J,5,Industrial,12,Manufacturing,18169,350,1008,1070,1241,1280,1292,5891,1178,Moderate Waste Production (1000-1500KG)
B1824O,5,Industrial,13,Data Center,92588,574,363,227,524,410,548,2072,414,Lowest Waste Production (<500KG)
B1768R,3,Educational,7,Nurseries,6378,265,587,609,859,834,806,3695,739,Low Waste Production (500-1000KG)
B1053E,6,Storage,15,Garage,129390,418,891,1091,1011,791,1140,4924,985,Low Waste Production (500-1000KG)
B1895X,2,Residential,5,Apartment,1261,6,11,8,8,11,7,45,9,Lowest Waste Production (<500KG)
B1611H,6,Storage,14,Warehouse,167657,550,821,591,1170,629,996,4207,841,Low Waste Production (500-1000KG)
B1626D,6,Storage,15,Garage,120290,363,1059,907,1185,846,768,4765,953,Low Waste Production (500-1000KG)
B1452B,3,Educational,6,University,28106,22206,519,694,426,824,763,3226,645,Low Waste Production (500-1000KG)
B1065P,5,Industrial,12,Manufacturing,18967,464,1080,1121,1284,1159,1217,5861,1172,Moderate Waste Production (1000-1500KG)
B1734A,3,Educational,6,University,32929,25040,530,811,934,499,474,3248,650,Low Waste Production (500-1000KG)
B1421O,1,Commercial,2,Office,4829,149,62,14,88,54,81,299,60,Lowest Waste Production (<500KG)
B1819A,6,Storage,15,Garage,123895,588,816,1296,1264,964,894,5234,1047,Moderate Waste Production (1000-1500KG)
B1035W,4,Institutional,10,Police Station,9520,221,1173,743,940,1108,791,4755,951,Low Waste Production (500-1000KG)
B1706D,5,Industrial,12,Manufacturing,18679,453,1039,1034,1066,1275,1152,5566,1113,Moderate Waste Production (1000-1500KG)
B1294H,6,Storage,15,Garage,129741,275,756,798,981,807,931,4273,855,Low Waste Production (500-1000KG)
B1314C,4,Institutional,9,Airport,98250,22794,4318,5874,4747,5478,3973,24390,4878,Highest Waste Production (>3500KG)
B1588M,3,Educational,7,Nurseries,6749,270,929,609,612,692,925,3767,753,Low Waste Production (500-1000KG)
B1474M,3,Educational,8,Student residences,11606,9611,1081,1033,1119,1094,1016,5343,1069,Moderate Waste Production (1000-1500KG)
B1636N,6,Storage,15,Garage,127547,373,1255,958,1053,1005,1127,5398,1080,Moderate Waste Production (1000-1500KG)
B1172X,3,Educational,6,University,25557,25848,437,946,673,939,990,3985,797,Low Waste Production (500-1000KG)
B1077Q,6,Storage,15,Garage,124296,469,1241,945,940,1178,963,5267,1053,Moderate Waste Production (1000-1500KG)
B1539G,3,Educational,8,Student residences,11498,9237,1022,1077,1181,1200,1199,5679,1136,Moderate Waste Production (1000-1500KG)
B1875M,3,Educational,8,Student residences,10570,8772,1119,1027,1195,1118,1097,5556,1111,Moderate Waste Production (1000-1500KG)
B1395Y,3,Educational,6,University,33024,21638,780,633,622,948,457,3440,688,Low Waste Production (500-1000KG)
BM0045A,1,Commercial,1,Retail Mixed,"18,778",3653,1350,280,2070,900,1150,5750,1150,Moderate Waste Production (1000-1500KG)
BM0506E,1,Commercial,3,Retail Non-Food,"8,550",1200,350,280,400,0,410,1440,288,Lowest Waste Production (<500KG)
BM1037N,1,Commercial,2,Office,"15,000",400,65,80,70,70,25,310,62,Lowest Waste Production (<500KG)
BO00733E,1,Commercial,1,Retail Mixed,"22,253",3200,1200,450,1480,2150,750,6030,1206,Moderate Waste Production (1000-1500KG)
BO00773C,1,Commercial,1,Retail Mixed,"12,150",2154,650,830,0,950,310,2740,548,Low Waste Production (500-1000KG)
BO0134N,1,Commercial,3,Retail Non-Food,"11,550",750,120,135,0,0,60,315,63,Lowest Waste Production (<500KG)
BO0143E,1,Commercial,2,Office,"7,500",165,40,25,45,0,0,110,22,Lowest Waste Production (<500KG)
BY1343F,1,Commercial,2,Office,"4,000",80,40,35,28,15,17,135,27,Lowest Waste Production (<500KG)
